"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","157.240.196.60","10.0.2.15","TLSv1.2","1323","Application Data"
"2","0.000066303","10.0.2.15","157.240.196.60","TCP","54","53210  >  443 [ACK] Seq=1 Ack=1270 Win=65535 Len=0"
"3","0.342818777","10.0.2.15","157.240.196.60","TLSv1.2","144","Application Data"
"4","0.343385093","157.240.196.60","10.0.2.15","TCP","60","443  >  53210 [ACK] Seq=1270 Ack=91 Win=65535 Len=0"
"5","10.559904435","10.0.2.15","157.240.196.60","TLSv1.2","123","Application Data"
"6","10.560620514","157.240.196.60","10.0.2.15","TCP","60","443  >  53210 [ACK] Seq=1270 Ack=160 Win=65535 Len=0"
"7","10.698114431","157.240.196.60","10.0.2.15","TLSv1.2","125","Application Data"
"8","10.698183719","10.0.2.15","157.240.196.60","TCP","54","53210  >  443 [ACK] Seq=160 Ack=1341 Win=65535 Len=0"
"9","15.482215648","157.240.196.60","10.0.2.15","TLSv1.2","1323","Application Data"
"10","15.482285781","10.0.2.15","157.240.196.60","TCP","54","53210  >  443 [ACK] Seq=160 Ack=2610 Win=65535 Len=0"
"11","15.670276546","10.0.2.15","157.240.196.60","TLSv1.2","144","Application Data"
"12","15.670679267","157.240.196.60","10.0.2.15","TCP","60","443  >  53210 [ACK] Seq=2610 Ack=250 Win=65535 Len=0"
"19","29.881775156","157.240.196.60","10.0.2.15","TLSv1.2","1323","Application Data"
"20","29.881870254","10.0.2.15","157.240.196.60","TCP","54","53210  >  443 [ACK] Seq=250 Ack=3879 Win=65535 Len=0"
"21","30.094585671","10.0.2.15","157.240.196.60","TLSv1.2","144","Application Data"
"22","30.095090322","157.240.196.60","10.0.2.15","TCP","60","443  >  53210 [ACK] Seq=3879 Ack=340 Win=65535 Len=0"
"23","35.570726901","10.0.2.15","157.240.196.60","TLSv1.2","123","Application Data"
"24","35.571292111","157.240.196.60","10.0.2.15","TCP","60","443  >  53210 [ACK] Seq=3879 Ack=409 Win=65535 Len=0"
"25","35.709800131","157.240.196.60","10.0.2.15","TLSv1.2","125","Application Data"
"26","35.709900185","10.0.2.15","157.240.196.60","TCP","54","53210  >  443 [ACK] Seq=409 Ack=3950 Win=65535 Len=0"
"27","44.381496439","157.240.196.60","10.0.2.15","TLSv1.2","1323","Application Data"
"28","44.381564321","10.0.2.15","157.240.196.60","TCP","54","53210  >  443 [ACK] Seq=409 Ack=5219 Win=65535 Len=0"
"29","44.574826968","10.0.2.15","157.240.196.60","TLSv1.2","144","Application Data"
"30","44.575333167","157.240.196.60","10.0.2.15","TCP","60","443  >  53210 [ACK] Seq=5219 Ack=499 Win=65535 Len=0"
"31","52.259430107","10.0.2.15","157.240.196.60","TLSv1.2","123","Application Data"
"32","52.262169021","157.240.196.60","10.0.2.15","TCP","60","443  >  53210 [ACK] Seq=5219 Ack=568 Win=65535 Len=0"
"33","52.400452303","157.240.196.60","10.0.2.15","TLSv1.2","125","Application Data"
"34","52.400511516","10.0.2.15","157.240.196.60","TCP","54","53210  >  443 [ACK] Seq=568 Ack=5290 Win=65535 Len=0"
"35","58.388416582","157.240.196.60","10.0.2.15","TLSv1.2","1307","Application Data"
"36","58.388489128","10.0.2.15","157.240.196.60","TCP","54","53210  >  443 [ACK] Seq=568 Ack=6543 Win=65535 Len=0"
"37","58.506784765","10.0.2.15","157.240.196.60","TLSv1.2","144","Application Data"
"38","58.507273188","157.240.196.60","10.0.2.15","TCP","60","443  >  53210 [ACK] Seq=6543 Ack=658 Win=65535 Len=0"
"41","72.724216874","157.240.196.60","10.0.2.15","TLSv1.2","1323","Application Data"
"42","72.724262155","10.0.2.15","157.240.196.60","TCP","54","53210  >  443 [ACK] Seq=658 Ack=7812 Win=65535 Len=0"
"43","72.875881215","10.0.2.15","157.240.196.60","TLSv1.2","144","Application Data"
"44","72.877559400","157.240.196.60","10.0.2.15","TCP","60","443  >  53210 [ACK] Seq=7812 Ack=748 Win=65535 Len=0"
"45","76.102802895","157.240.196.60","10.0.2.15","TLSv1.2","147","Application Data"
"46","76.102867667","10.0.2.15","157.240.196.60","TCP","54","53210  >  443 [ACK] Seq=748 Ack=7905 Win=65535 Len=0"
"47","76.110480803","157.240.196.60","10.0.2.15","TLSv1.2","106","Application Data, Application Data"
"48","76.110520135","10.0.2.15","157.240.196.60","TCP","54","53210  >  443 [ACK] Seq=748 Ack=7957 Win=65535 Len=0"
"49","76.110481049","157.240.196.60","10.0.2.15","TCP","60","443  >  53210 [FIN, ACK] Seq=7957 Ack=748 Win=65535 Len=0"
"50","76.113170068","10.0.2.15","157.240.196.60","TCP","54","53210  >  443 [FIN, ACK] Seq=748 Ack=7958 Win=65535 Len=0"
"51","76.113692117","157.240.196.60","10.0.2.15","TCP","60","443  >  53210 [ACK] Seq=7958 Ack=749 Win=65535 Len=0"
