"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","157.240.196.60","10.0.2.15","TLSv1.2","1499","Application Data"
"2","0.000042861","10.0.2.15","157.240.196.60","TCP","54","53210  >  443 [ACK] Seq=1 Ack=1446 Win=65535 Len=0"
"3","0.224943507","10.0.2.15","157.240.196.60","TLSv1.2","144","Application Data"
"4","0.225641363","157.240.196.60","10.0.2.15","TCP","60","443  >  53210 [ACK] Seq=1446 Ack=91 Win=65535 Len=0"
"5","2.505490113","10.0.2.15","157.240.196.60","TLSv1.2","123","Application Data"
"6","2.506326561","157.240.196.60","10.0.2.15","TCP","60","443  >  53210 [ACK] Seq=1446 Ack=160 Win=65535 Len=0"
"7","2.643463547","157.240.196.60","10.0.2.15","TLSv1.2","125","Application Data"
"8","2.643533894","10.0.2.15","157.240.196.60","TCP","54","53210  >  443 [ACK] Seq=160 Ack=1517 Win=65535 Len=0"
"11","15.241225014","157.240.196.60","10.0.2.15","TCP","1446","443  >  53210 [PSH, ACK] Seq=1517 Ack=160 Win=65535 Len=1392 [TCP segment of a reassembled PDU]"
"12","15.241285521","10.0.2.15","157.240.196.60","TCP","54","53210  >  443 [ACK] Seq=160 Ack=2909 Win=65535 Len=0"
"13","15.244300493","157.240.196.60","10.0.2.15","TLSv1.2","107","Application Data"
"14","15.244340364","10.0.2.15","157.240.196.60","TCP","54","53210  >  443 [ACK] Seq=160 Ack=2962 Win=65535 Len=0"
"15","15.429503829","10.0.2.15","157.240.196.60","TLSv1.2","144","Application Data"
"16","15.430473433","157.240.196.60","10.0.2.15","TCP","60","443  >  53210 [ACK] Seq=2962 Ack=250 Win=65535 Len=0"
"17","25.273963688","10.0.2.15","157.240.196.60","TLSv1.2","123","Application Data"
"18","25.274617473","157.240.196.60","10.0.2.15","TCP","60","443  >  53210 [ACK] Seq=2962 Ack=319 Win=65535 Len=0"
"19","25.413405912","157.240.196.60","10.0.2.15","TLSv1.2","125","Application Data"
"20","25.413519297","10.0.2.15","157.240.196.60","TCP","54","53210  >  443 [ACK] Seq=319 Ack=3033 Win=65535 Len=0"
"21","30.022014879","157.240.196.60","10.0.2.15","TLSv1.2","1483","Application Data"
"22","30.022157260","10.0.2.15","157.240.196.60","TCP","54","53210  >  443 [ACK] Seq=319 Ack=4462 Win=65535 Len=0"
"23","30.171689368","10.0.2.15","157.240.196.60","TLSv1.2","144","Application Data"
"24","30.172246490","157.240.196.60","10.0.2.15","TCP","60","443  >  53210 [ACK] Seq=4462 Ack=409 Win=65535 Len=0"
"27","31.398081908","157.240.196.60","10.0.2.15","TLSv1.2","610","Application Data"
"28","31.398146183","10.0.2.15","157.240.196.60","TCP","54","53210  >  443 [ACK] Seq=409 Ack=5018 Win=65535 Len=0"
"29","31.501788955","10.0.2.15","157.240.196.60","TLSv1.2","153","Application Data"
"30","31.502357456","157.240.196.60","10.0.2.15","TCP","60","443  >  53210 [ACK] Seq=5018 Ack=508 Win=65535 Len=0"
"31","38.588218176","157.240.196.60","10.0.2.15","TLSv1.2","175","Application Data"
"32","38.588295268","10.0.2.15","157.240.196.60","TCP","54","53210  >  443 [ACK] Seq=508 Ack=5139 Win=65535 Len=0"
"33","38.589628430","157.240.196.60","10.0.2.15","TLSv1.2","191","Application Data"
"34","38.589667373","10.0.2.15","157.240.196.60","TCP","54","53210  >  443 [ACK] Seq=508 Ack=5276 Win=65535 Len=0"
"35","38.635772033","10.0.2.15","157.240.196.60","TLSv1.2","151","Application Data"
"36","38.636212399","157.240.196.60","10.0.2.15","TCP","60","443  >  53210 [ACK] Seq=5276 Ack=605 Win=65535 Len=0"
"37","38.640435120","10.0.2.15","157.240.196.60","TLSv1.2","151","Application Data"
"38","38.641501282","157.240.196.60","10.0.2.15","TCP","60","443  >  53210 [ACK] Seq=5276 Ack=702 Win=65535 Len=0"
"43","46.745617604","10.0.2.15","157.240.196.60","TLSv1.2","123","Application Data"
"44","46.749143638","157.240.196.60","10.0.2.15","TCP","60","443  >  53210 [ACK] Seq=5276 Ack=771 Win=65535 Len=0"
"45","46.773394825","157.240.196.60","10.0.2.15","TLSv1.2","1483","Application Data"
"46","46.773462012","10.0.2.15","157.240.196.60","TCP","54","53210  >  443 [ACK] Seq=771 Ack=6705 Win=65535 Len=0"
"47","46.885775904","157.240.196.60","10.0.2.15","TLSv1.2","125","Application Data"
"48","46.885810720","10.0.2.15","157.240.196.60","TCP","54","53210  >  443 [ACK] Seq=771 Ack=6776 Win=65535 Len=0"
"49","46.965258839","10.0.2.15","157.240.196.60","TLSv1.2","144","Application Data"
"50","46.966876201","157.240.196.60","10.0.2.15","TCP","60","443  >  53210 [ACK] Seq=6776 Ack=861 Win=65535 Len=0"
"51","62.142161023","157.240.196.60","10.0.2.15","TCP","1446","443  >  53210 [PSH, ACK] Seq=6776 Ack=861 Win=65535 Len=1392 [TCP segment of a reassembled PDU]"
"52","62.142235907","10.0.2.15","157.240.196.60","TCP","54","53210  >  443 [ACK] Seq=861 Ack=8168 Win=65535 Len=0"
"53","62.143293755","157.240.196.60","10.0.2.15","TLSv1.2","107","Application Data"
"54","62.143325382","10.0.2.15","157.240.196.60","TCP","54","53210  >  443 [ACK] Seq=861 Ack=8221 Win=65535 Len=0"
"55","62.297092369","10.0.2.15","157.240.196.60","TLSv1.2","144","Application Data"
"56","62.297558538","157.240.196.60","10.0.2.15","TCP","60","443  >  53210 [ACK] Seq=8221 Ack=951 Win=65535 Len=0"
"57","63.720471255","10.0.2.15","157.240.196.60","TLSv1.2","123","Application Data"
"58","63.720977934","157.240.196.60","10.0.2.15","TCP","60","443  >  53210 [ACK] Seq=8221 Ack=1020 Win=65535 Len=0"
"59","63.857937447","157.240.196.60","10.0.2.15","TLSv1.2","125","Application Data"
"60","63.858005821","10.0.2.15","157.240.196.60","TCP","54","53210  >  443 [ACK] Seq=1020 Ack=8292 Win=65535 Len=0"
"65","77.295056070","157.240.196.60","10.0.2.15","TCP","1446","443  >  53210 [PSH, ACK] Seq=8292 Ack=1020 Win=65535 Len=1392 [TCP segment of a reassembled PDU]"
"66","77.295131178","10.0.2.15","157.240.196.60","TCP","54","53210  >  443 [ACK] Seq=1020 Ack=9684 Win=65535 Len=0"
"67","77.296037691","157.240.196.60","10.0.2.15","TLSv1.2","107","Application Data"
