"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","157.240.195.56","10.0.2.15","TLSv1.2","310","Application Data"
"2","0.043856631","10.0.2.15","157.240.195.56","TCP","54","33254  >  443 [ACK] Seq=1 Ack=257 Win=63542 Len=0"
"3","0.055920862","10.0.2.15","157.240.195.56","TLSv1.2","144","Application Data"
"4","0.056775915","157.240.195.56","10.0.2.15","TCP","60","443  >  33254 [ACK] Seq=257 Ack=91 Win=65535 Len=0"
"5","0.228096549","157.240.195.56","10.0.2.15","TLSv1.2","183","Application Data"
"6","0.228158598","10.0.2.15","157.240.195.56","TCP","54","33254  >  443 [ACK] Seq=91 Ack=386 Win=63542 Len=0"
"7","0.231131475","10.0.2.15","157.240.195.56","TLSv1.2","148","Application Data"
"8","0.231877929","157.240.195.56","10.0.2.15","TCP","60","443  >  33254 [ACK] Seq=386 Ack=185 Win=65535 Len=0"
"23","2.940949466","157.240.195.56","10.0.2.15","TLSv1.2","1483","Application Data"
"24","2.983914135","10.0.2.15","157.240.195.56","TCP","54","33254  >  443 [ACK] Seq=185 Ack=1815 Win=63542 Len=0"
"25","2.993963816","10.0.2.15","157.240.195.56","TLSv1.2","144","Application Data"
"26","2.994735405","157.240.195.56","10.0.2.15","TCP","60","443  >  33254 [ACK] Seq=1815 Ack=275 Win=65535 Len=0"
"27","3.204294512","157.240.195.56","10.0.2.15","TLSv1.2","183","Application Data"
"28","3.204357430","10.0.2.15","157.240.195.56","TCP","54","33254  >  443 [ACK] Seq=275 Ack=1944 Win=63542 Len=0"
"29","3.209172042","10.0.2.15","157.240.195.56","TLSv1.2","148","Application Data"
"30","3.210058943","157.240.195.56","10.0.2.15","TCP","60","443  >  33254 [ACK] Seq=1944 Ack=369 Win=65535 Len=0"
"45","6.835838286","157.240.195.56","10.0.2.15","TCP","1514","443  >  33254 [ACK] Seq=1944 Ack=369 Win=65535 Len=1460 [TCP segment of a reassembled PDU]"
"46","6.881106763","10.0.2.15","157.240.195.56","TCP","54","33254  >  443 [ACK] Seq=369 Ack=3404 Win=63542 Len=0"
"47","6.881641136","157.240.195.56","10.0.2.15","TLSv1.2","157","Application Data, Application Data"
