"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","157.240.195.56","10.0.2.15","TLSv1.2","602","Application Data"
"2","0.000044783","10.0.2.15","157.240.195.56","TCP","54","33254  >  443 [ACK] Seq=1 Ack=549 Win=65535 Len=0"
"3","0.061495653","10.0.2.15","157.240.195.56","TLSv1.2","144","Application Data"
"4","0.061949369","157.240.195.56","10.0.2.15","TCP","60","443  >  33254 [ACK] Seq=549 Ack=91 Win=65535 Len=0"
"5","0.840964962","10.0.2.15","172.217.22.110","UDP","795","35492  >  443 Len=753"
"6","0.855232778","172.217.22.110","10.0.2.15","UDP","73","443  >  35492 Len=31"
"7","0.859702238","10.0.2.15","172.217.22.110","UDP","75","35492  >  443 Len=33"
"8","0.936471270","172.217.22.110","10.0.2.15","UDP","122","443  >  35492 Len=80"
"9","0.936773374","10.0.2.15","172.217.22.110","UDP","81","35492  >  443 Len=39"
"10","0.937326055","172.217.22.110","10.0.2.15","UDP","64","443  >  35492 Len=22"
"11","0.944445907","172.217.22.110","10.0.2.15","UDP","67","443  >  35492 Len=25"
"12","0.944551306","10.0.2.15","172.217.22.110","UDP","74","35492  >  443 Len=32"
"13","1.003873569","157.240.195.56","10.0.2.15","TLSv1.2","332","Application Data"
"14","1.003910711","10.0.2.15","157.240.195.56","TCP","54","33254  >  443 [ACK] Seq=91 Ack=827 Win=65535 Len=0"
"15","1.022316496","10.0.2.15","157.240.195.56","TLSv1.2","126","Application Data"
"16","1.022979654","157.240.195.56","10.0.2.15","TCP","60","443  >  33254 [ACK] Seq=827 Ack=163 Win=65535 Len=0"
"17","2.094455002","10.0.2.15","192.114.46.177","UDP","1085","52717  >  443 Len=1043"
"18","2.104334475","192.114.46.177","10.0.2.15","UDP","71","443  >  52717 Len=29"
"19","2.104334737","192.114.46.177","10.0.2.15","UDP","156","443  >  52717 Len=114"
"20","2.104334781","192.114.46.177","10.0.2.15","UDP","1288","443  >  52717 Len=1246"
"21","2.104334820","192.114.46.177","10.0.2.15","UDP","1292","443  >  52717 Len=1250"
"22","2.104618877","10.0.2.15","192.114.46.177","UDP","78","52717  >  443 Len=36"
"23","2.105201004","192.114.46.177","10.0.2.15","UDP","1292","443  >  52717 Len=1250"
"24","2.105201139","192.114.46.177","10.0.2.15","UDP","1292","443  >  52717 Len=1250"
"25","2.105201206","192.114.46.177","10.0.2.15","UDP","1292","443  >  52717 Len=1250"
"26","2.105201248","192.114.46.177","10.0.2.15","UDP","1292","443  >  52717 Len=1250"
"27","2.105201292","192.114.46.177","10.0.2.15","UDP","1292","443  >  52717 Len=1250"
"28","2.105776344","192.114.46.177","10.0.2.15","UDP","1292","443  >  52717 Len=1250"
"29","2.105776432","192.114.46.177","10.0.2.15","UDP","1292","443  >  52717 Len=1250"
"30","2.105776477","192.114.46.177","10.0.2.15","UDP","1292","443  >  52717 Len=1250"
"31","2.105884654","10.0.2.15","192.114.46.177","UDP","74","52717  >  443 Len=32"
"32","2.106244260","192.114.46.177","10.0.2.15","UDP","1292","443  >  52717 Len=1250"
"33","2.106244304","192.114.46.177","10.0.2.15","UDP","1292","443  >  52717 Len=1250"
"34","2.106244344","192.114.46.177","10.0.2.15","UDP","1292","443  >  52717 Len=1250"
"35","2.106409126","10.0.2.15","192.114.46.177","UDP","74","52717  >  443 Len=32"
"36","2.106417141","192.114.46.177","10.0.2.15","UDP","1292","443  >  52717 Len=1250"
"37","2.106884560","192.114.46.177","10.0.2.15","UDP","1292","443  >  52717 Len=1250"
"38","2.106884625","192.114.46.177","10.0.2.15","UDP","1292","443  >  52717 Len=1250"
"39","2.107599034","192.114.46.177","10.0.2.15","UDP","1292","443  >  52717 Len=1250"
"40","2.107599105","192.114.46.177","10.0.2.15","UDP","1292","443  >  52717 Len=1250"
"41","2.107741832","10.0.2.15","192.114.46.177","UDP","74","52717  >  443 Len=32"
"42","2.107768870","192.114.46.177","10.0.2.15","UDP","1292","443  >  52717 Len=1250"
"43","2.107902888","192.114.46.177","10.0.2.15","UDP","1292","443  >  52717 Len=1250"
"44","2.108358933","192.114.46.177","10.0.2.15","UDP","1292","443  >  52717 Len=1250"
"45","2.109786546","192.114.46.177","10.0.2.15","UDP","1292","443  >  52717 Len=1250"
"46","2.109786661","192.114.46.177","10.0.2.15","UDP","1292","443  >  52717 Len=1250"
"47","2.109786712","192.114.46.177","10.0.2.15","UDP","1292","443  >  52717 Len=1250"
"48","2.109786741","192.114.46.177","10.0.2.15","UDP","1292","443  >  52717 Len=1250"
"49","2.109865822","10.0.2.15","192.114.46.177","UDP","74","52717  >  443 Len=32"
"50","2.110130186","192.114.46.177","10.0.2.15","UDP","1292","443  >  52717 Len=1250"
"51","2.110130271","192.114.46.177","10.0.2.15","UDP","1292","443  >  52717 Len=1250"
"52","2.110130313","192.114.46.177","10.0.2.15","UDP","1292","443  >  52717 Len=1250"
"53","2.110130362","192.114.46.177","10.0.2.15","UDP","1292","443  >  52717 Len=1250"
"54","2.110612616","192.114.46.177","10.0.2.15","UDP","1292","443  >  52717 Len=1250"
"55","2.111015207","192.114.46.177","10.0.2.15","UDP","1292","443  >  52717 Len=1250"
"56","2.111015286","192.114.46.177","10.0.2.15","UDP","1292","443  >  52717 Len=1250"
"57","2.111015318","192.114.46.177","10.0.2.15","UDP","1292","443  >  52717 Len=1250"
"58","2.111088246","10.0.2.15","192.114.46.177","UDP","74","52717  >  443 Len=32"
"59","2.112499499","192.114.46.177","10.0.2.15","UDP","1292","443  >  52717 Len=1250"
"60","2.112499633","192.114.46.177","10.0.2.15","UDP","1292","443  >  52717 Len=1250"
"61","2.112499679","192.114.46.177","10.0.2.15","UDP","1292","443  >  52717 Len=1250"
"62","2.112499723","192.114.46.177","10.0.2.15","UDP","1292","443  >  52717 Len=1250"
"63","2.112499762","192.114.46.177","10.0.2.15","UDP","1292","443  >  52717 Len=1250"
"64","2.112499808","192.114.46.177","10.0.2.15","UDP","1292","443  >  52717 Len=1250"
"65","2.112499849","192.114.46.177","10.0.2.15","UDP","1292","443  >  52717 Len=1250"
"66","2.112499891","192.114.46.177","10.0.2.15","UDP","1292","443  >  52717 Len=1250"
"67","2.112590812","192.114.46.177","10.0.2.15","UDP","1292","443  >  52717 Len=1250"
"68","2.112660687","10.0.2.15","192.114.46.177","UDP","74","52717  >  443 Len=32"
"69","2.112812228","192.114.46.177","10.0.2.15","UDP","1292","443  >  52717 Len=1250"
"70","2.113551672","192.114.46.177","10.0.2.15","UDP","1292","443  >  52717 Len=1250"
"71","2.113551915","192.114.46.177","10.0.2.15","UDP","1292","443  >  52717 Len=1250"
"72","2.113551968","192.114.46.177","10.0.2.15","UDP","1292","443  >  52717 Len=1250"
"73","2.113552000","192.114.46.177","10.0.2.15","UDP","1292","443  >  52717 Len=1250"
"74","2.113752393","192.114.46.177","10.0.2.15","UDP","1292","443  >  52717 Len=1250"
"75","2.113913338","10.0.2.15","192.114.46.177","UDP","74","52717  >  443 Len=32"
"76","2.114071454","192.114.46.177","10.0.2.15","UDP","1292","443  >  52717 Len=1250"
"77","2.114071540","192.114.46.177","10.0.2.15","UDP","1292","443  >  52717 Len=1250"
"78","2.114130707","192.114.46.177","10.0.2.15","UDP","1292","443  >  52717 Len=1250"
"79","2.114415272","192.114.46.177","10.0.2.15","UDP","1292","443  >  52717 Len=1250"
"80","2.114548353","192.114.46.177","10.0.2.15","UDP","1292","443  >  52717 Len=1250"
"81","2.114743336","192.114.46.177","10.0.2.15","UDP","1292","443  >  52717 Len=1250"
"82","2.114836594","10.0.2.15","192.114.46.177","UDP","74","52717  >  443 Len=32"
"83","2.114858066","192.114.46.177","10.0.2.15","UDP","1292","443  >  52717 Len=1250"
"84","2.115088017","192.114.46.177","10.0.2.15","UDP","1292","443  >  52717 Len=1250"
"85","2.115319114","192.114.46.177","10.0.2.15","UDP","1292","443  >  52717 Len=1250"
"86","2.118041276","192.114.46.177","10.0.2.15","UDP","1292","443  >  52717 Len=1250"
"87","2.118117653","10.0.2.15","192.114.46.177","UDP","74","52717  >  443 Len=32"
"88","2.118183166","192.114.46.177","10.0.2.15","UDP","1292","443  >  52717 Len=1250"
"89","2.118412241","192.114.46.177","10.0.2.15","UDP","1292","443  >  52717 Len=1250"
"90","2.118563531","192.114.46.177","10.0.2.15","UDP","1292","443  >  52717 Len=1250"
"91","2.118759259","192.114.46.177","10.0.2.15","UDP","1292","443  >  52717 Len=1250"
"92","2.119199301","192.114.46.177","10.0.2.15","UDP","1292","443  >  52717 Len=1250"
"93","2.119261489","10.0.2.15","192.114.46.177","UDP","75","52717  >  443 Len=33"
"94","2.119336402","192.114.46.177","10.0.2.15","UDP","1292","443  >  52717 Len=1250"
"95","2.119574384","192.114.46.177","10.0.2.15","UDP","1292","443  >  52717 Len=1250"
"96","2.119762393","192.114.46.177","10.0.2.15","UDP","1292","443  >  52717 Len=1250"
"97","2.119970910","192.114.46.177","10.0.2.15","UDP","1292","443  >  52717 Len=1250"
"98","2.120104128","192.114.46.177","10.0.2.15","UDP","1292","443  >  52717 Len=1250"
"99","2.120240629","192.114.46.177","10.0.2.15","UDP","1292","443  >  52717 Len=1250"
"100","2.120375593","192.114.46.177","10.0.2.15","UDP","1292","443  >  52717 Len=1250"
"101","2.120435543","10.0.2.15","192.114.46.177","UDP","74","52717  >  443 Len=32"
"102","2.120517811","192.114.46.177","10.0.2.15","UDP","1292","443  >  52717 Len=1250"
"103","2.120955500","192.114.46.177","10.0.2.15","UDP","1292","443  >  52717 Len=1250"
"104","2.121090282","192.114.46.177","10.0.2.15","UDP","1292","443  >  52717 Len=1250"
