"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","157.240.196.60","10.0.2.15","TLSv1.2","617","Application Data"
"2","0.000075399","10.0.2.15","157.240.196.60","TCP","54","53210  >  443 [ACK] Seq=1 Ack=564 Win=65535 Len=0"
"3","0.211807380","10.0.2.15","157.240.196.60","TLSv1.2","144","Application Data"
"4","0.212308573","157.240.196.60","10.0.2.15","TCP","60","443  >  53210 [ACK] Seq=564 Ack=91 Win=65535 Len=0"
"7","5.284798131","10.0.2.15","157.240.196.60","TLSv1.2","123","Application Data"
"8","5.287879108","157.240.196.60","10.0.2.15","TCP","60","443  >  53210 [ACK] Seq=564 Ack=160 Win=65535 Len=0"
"9","5.426804735","157.240.196.60","10.0.2.15","TLSv1.2","125","Application Data"
"10","5.426869915","10.0.2.15","157.240.196.60","TCP","54","53210  >  443 [ACK] Seq=160 Ack=635 Win=65535 Len=0"
"11","17.420617178","157.240.196.60","10.0.2.15","TLSv1.2","617","Application Data"
"12","17.420685803","10.0.2.15","157.240.196.60","TCP","54","53210  >  443 [ACK] Seq=160 Ack=1198 Win=65535 Len=0"
"13","17.616487238","10.0.2.15","157.240.196.60","TLSv1.2","144","Application Data"
"14","17.616929827","157.240.196.60","10.0.2.15","TCP","60","443  >  53210 [ACK] Seq=1198 Ack=250 Win=65535 Len=0"
"17","21.717366432","10.0.2.15","157.240.196.60","TLSv1.2","123","Application Data"
"18","21.718156268","157.240.196.60","10.0.2.15","TCP","60","443  >  53210 [ACK] Seq=1198 Ack=319 Win=65535 Len=0"
"19","21.856283396","157.240.196.60","10.0.2.15","TLSv1.2","125","Application Data"
"20","21.856352474","10.0.2.15","157.240.196.60","TCP","54","53210  >  443 [ACK] Seq=319 Ack=1269 Win=65535 Len=0"
"21","33.498395827","157.240.196.60","10.0.2.15","TLSv1.2","617","Application Data"
"22","33.498476903","10.0.2.15","157.240.196.60","TCP","54","53210  >  443 [ACK] Seq=319 Ack=1832 Win=65535 Len=0"
"23","33.701781297","10.0.2.15","157.240.196.60","TLSv1.2","144","Application Data"
"24","33.702128510","157.240.196.60","10.0.2.15","TCP","60","443  >  53210 [ACK] Seq=1832 Ack=409 Win=65535 Len=0"
"25","45.327852800","10.0.2.15","157.240.196.60","TLSv1.2","123","Application Data"
"26","45.328642661","157.240.196.60","10.0.2.15","TCP","60","443  >  53210 [ACK] Seq=1832 Ack=478 Win=65535 Len=0"
"27","45.466220828","157.240.196.60","10.0.2.15","TLSv1.2","125","Application Data"
"28","45.466279552","10.0.2.15","157.240.196.60","TCP","54","53210  >  443 [ACK] Seq=478 Ack=1903 Win=65535 Len=0"
"29","47.219574808","157.240.196.60","10.0.2.15","TLSv1.2","601","Application Data"
"30","47.219647465","10.0.2.15","157.240.196.60","TCP","54","53210  >  443 [ACK] Seq=478 Ack=2450 Win=65535 Len=0"
"31","47.454074318","10.0.2.15","157.240.196.60","TLSv1.2","144","Application Data"
"32","47.454515504","157.240.196.60","10.0.2.15","TCP","60","443  >  53210 [ACK] Seq=2450 Ack=568 Win=65535 Len=0"
"33","61.146674026","157.240.196.60","10.0.2.15","TLSv1.2","601","Application Data"
"34","61.146746919","10.0.2.15","157.240.196.60","TCP","54","53210  >  443 [ACK] Seq=568 Ack=2997 Win=65535 Len=0"
"35","61.345902693","10.0.2.15","157.240.196.60","TLSv1.2","123","Application Data"
"36","61.347264256","157.240.196.60","10.0.2.15","TCP","60","443  >  53210 [ACK] Seq=2997 Ack=637 Win=65535 Len=0"
"37","61.354539429","10.0.2.15","157.240.196.60","TLSv1.2","144","Application Data"
"38","61.355132572","157.240.196.60","10.0.2.15","TCP","60","443  >  53210 [ACK] Seq=2997 Ack=727 Win=65535 Len=0"
"39","61.484967734","157.240.196.60","10.0.2.15","TLSv1.2","125","Application Data"
"40","61.484999285","10.0.2.15","157.240.196.60","TCP","54","53210  >  443 [ACK] Seq=727 Ack=3068 Win=65535 Len=0"
"43","76.200642841","157.240.196.60","10.0.2.15","TLSv1.2","601","Application Data"
"44","76.200724252","10.0.2.15","157.240.196.60","TCP","54","53210  >  443 [ACK] Seq=727 Ack=3615 Win=65535 Len=0"
"45","76.416103243","10.0.2.15","157.240.196.60","TLSv1.2","144","Application Data"
"46","76.416657183","157.240.196.60","10.0.2.15","TCP","60","443  >  53210 [ACK] Seq=3615 Ack=817 Win=65535 Len=0"
"47","79.787846009","10.0.2.15","157.240.196.60","TLSv1.2","123","Application Data"
"48","79.788582845","157.240.196.60","10.0.2.15","TCP","60","443  >  53210 [ACK] Seq=3615 Ack=886 Win=65535 Len=0"
"49","79.925239156","157.240.196.60","10.0.2.15","TLSv1.2","125","Application Data"
