"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","157.240.196.60","10.0.2.15","TCP","1514","443  >  53210 [ACK] Seq=1 Ack=1 Win=65535 Len=1460 [TCP segment of a reassembled PDU]"
"2","0.000040413","10.0.2.15","157.240.196.60","TCP","54","53210  >  443 [ACK] Seq=1 Ack=1461 Win=65535 Len=0"
"3","0.000329144","157.240.196.60","10.0.2.15","TLSv1.2","157","Application Data, Application Data"
"4","0.000344581","10.0.2.15","157.240.196.60","TCP","54","53210  >  443 [ACK] Seq=1 Ack=1564 Win=65535 Len=0"
"5","0.201830272","10.0.2.15","157.240.196.60","TLSv1.2","144","Application Data"
"6","0.202928982","157.240.196.60","10.0.2.15","TCP","60","443  >  53210 [ACK] Seq=1564 Ack=91 Win=65535 Len=0"
"11","12.075272020","10.0.2.15","157.240.196.60","TLSv1.2","123","Application Data"
"12","12.075744335","157.240.196.60","10.0.2.15","TCP","60","443  >  53210 [ACK] Seq=1564 Ack=160 Win=65535 Len=0"
"13","12.212863442","157.240.196.60","10.0.2.15","TLSv1.2","125","Application Data"
"14","12.212895249","10.0.2.15","157.240.196.60","TCP","54","53210  >  443 [ACK] Seq=160 Ack=1635 Win=65535 Len=0"
"17","16.138428197","157.240.196.60","10.0.2.15","TCP","1446","443  >  53210 [PSH, ACK] Seq=1635 Ack=160 Win=65535 Len=1392 [TCP segment of a reassembled PDU]"
"18","16.138526514","10.0.2.15","157.240.196.60","TCP","54","53210  >  443 [ACK] Seq=160 Ack=3027 Win=65535 Len=0"
"19","16.138875701","157.240.196.60","10.0.2.15","TLSv1.2","241","Application Data, Application Data"
"20","16.138925916","10.0.2.15","157.240.196.60","TCP","54","53210  >  443 [ACK] Seq=160 Ack=3214 Win=65535 Len=0"
"21","16.401472939","10.0.2.15","157.240.196.60","TLSv1.2","144","Application Data"
"22","16.402667516","157.240.196.60","10.0.2.15","TCP","60","443  >  53210 [ACK] Seq=3214 Ack=250 Win=65535 Len=0"
"23","27.746627675","10.0.2.15","157.240.196.60","TLSv1.2","123","Application Data"
"24","27.747450400","157.240.196.60","10.0.2.15","TCP","60","443  >  53210 [ACK] Seq=3214 Ack=319 Win=65535 Len=0"
"25","27.884427317","157.240.196.60","10.0.2.15","TLSv1.2","125","Application Data"
"26","27.884469018","10.0.2.15","157.240.196.60","TCP","54","53210  >  443 [ACK] Seq=319 Ack=3285 Win=65535 Len=0"
"27","31.044522890","157.240.196.60","10.0.2.15","TCP","1514","443  >  53210 [ACK] Seq=3285 Ack=319 Win=65535 Len=1460 [TCP segment of a reassembled PDU]"
"28","31.044573317","10.0.2.15","157.240.196.60","TCP","54","53210  >  443 [ACK] Seq=319 Ack=4745 Win=65535 Len=0"
"29","31.044815937","157.240.196.60","10.0.2.15","TLSv1.2","173","Application Data, Application Data"
"30","31.044833346","10.0.2.15","157.240.196.60","TCP","54","53210  >  443 [ACK] Seq=319 Ack=4864 Win=65535 Len=0"
"31","31.256636247","10.0.2.15","157.240.196.60","TLSv1.2","144","Application Data"
"32","31.257069613","157.240.196.60","10.0.2.15","TCP","60","443  >  53210 [ACK] Seq=4864 Ack=409 Win=65535 Len=0"
"33","41.636931705","157.240.196.60","10.0.2.15","TLSv1.2","313","Application Data"
"34","41.637001805","10.0.2.15","157.240.196.60","TCP","54","53210  >  443 [ACK] Seq=409 Ack=5123 Win=65535 Len=0"
"35","41.703223694","10.0.2.15","157.240.196.60","TLSv1.2","153","Application Data"
"36","41.703831919","157.240.196.60","10.0.2.15","TCP","60","443  >  53210 [ACK] Seq=5123 Ack=508 Win=65535 Len=0"
"37","45.120057542","157.240.196.60","10.0.2.15","TCP","1446","443  >  53210 [PSH, ACK] Seq=5123 Ack=508 Win=65535 Len=1392 [TCP segment of a reassembled PDU]"
"38","45.120116802","10.0.2.15","157.240.196.60","TCP","54","53210  >  443 [ACK] Seq=508 Ack=6515 Win=65535 Len=0"
"39","45.120843272","157.240.196.60","10.0.2.15","TLSv1.2","241","Application Data, Application Data"
"40","45.120878908","10.0.2.15","157.240.196.60","TCP","54","53210  >  443 [ACK] Seq=508 Ack=6702 Win=65535 Len=0"
"41","45.317603506","10.0.2.15","157.240.196.60","TLSv1.2","144","Application Data"
"42","45.318479590","157.240.196.60","10.0.2.15","TCP","60","443  >  53210 [ACK] Seq=6702 Ack=598 Win=65535 Len=0"
