"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","157.240.196.60","10.0.2.15","TLSv1.2","859","Application Data"
"2","0.000067628","10.0.2.15","157.240.196.60","TCP","54","53210  >  443 [ACK] Seq=1 Ack=806 Win=65535 Len=0"
"3","0.176289918","10.0.2.15","157.240.196.60","TLSv1.2","144","Application Data"
"4","0.176823423","157.240.196.60","10.0.2.15","TCP","60","443  >  53210 [ACK] Seq=806 Ack=91 Win=65535 Len=0"
"5","2.149970773","157.240.196.60","10.0.2.15","TLSv1.2","142","Application Data"
"6","2.150038514","10.0.2.15","157.240.196.60","TCP","54","53210  >  443 [ACK] Seq=91 Ack=894 Win=65535 Len=0"
"7","2.155917015","10.0.2.15","157.240.196.60","TLSv1.2","126","Application Data"
"8","2.156710554","157.240.196.60","10.0.2.15","TCP","60","443  >  53210 [ACK] Seq=894 Ack=163 Win=65535 Len=0"
"9","14.778437668","10.0.2.15","157.240.196.60","TLSv1.2","123","Application Data"
"10","14.781375738","157.240.196.60","10.0.2.15","TCP","60","443  >  53210 [ACK] Seq=894 Ack=232 Win=65535 Len=0"
"11","14.918964050","157.240.196.60","10.0.2.15","TLSv1.2","125","Application Data"
"12","14.962083784","10.0.2.15","157.240.196.60","TCP","54","53210  >  443 [ACK] Seq=232 Ack=965 Win=65535 Len=0"
"13","16.281994569","157.240.196.60","10.0.2.15","TLSv1.2","859","Application Data"
"14","16.282059170","10.0.2.15","157.240.196.60","TCP","54","53210  >  443 [ACK] Seq=232 Ack=1770 Win=65535 Len=0"
"15","16.496860211","10.0.2.15","157.240.196.60","TLSv1.2","144","Application Data"
"16","16.497282228","157.240.196.60","10.0.2.15","TCP","60","443  >  53210 [ACK] Seq=1770 Ack=322 Win=65535 Len=0"
"19","32.286963002","157.240.196.60","10.0.2.15","TLSv1.2","859","Application Data"
"20","32.287038138","10.0.2.15","157.240.196.60","TCP","54","53210  >  443 [ACK] Seq=322 Ack=2575 Win=65535 Len=0"
"21","32.548797491","10.0.2.15","157.240.196.60","TLSv1.2","144","Application Data"
"22","32.549357658","157.240.196.60","10.0.2.15","TCP","60","443  >  53210 [ACK] Seq=2575 Ack=412 Win=65535 Len=0"
"23","36.258698106","10.0.2.15","157.240.196.60","TLSv1.2","123","Application Data"
"24","36.261510241","157.240.196.60","10.0.2.15","TCP","60","443  >  53210 [ACK] Seq=2575 Ack=481 Win=65535 Len=0"
"25","36.399534232","157.240.196.60","10.0.2.15","TLSv1.2","125","Application Data"
"26","36.399577533","10.0.2.15","157.240.196.60","TCP","54","53210  >  443 [ACK] Seq=481 Ack=2646 Win=65535 Len=0"
"27","47.719225766","157.240.196.60","10.0.2.15","TLSv1.2","859","Application Data"
"28","47.719296289","10.0.2.15","157.240.196.60","TCP","54","53210  >  443 [ACK] Seq=481 Ack=3451 Win=65535 Len=0"
"29","47.980935886","10.0.2.15","157.240.196.60","TLSv1.2","144","Application Data"
"30","47.981369683","157.240.196.60","10.0.2.15","TCP","60","443  >  53210 [ACK] Seq=3451 Ack=571 Win=65535 Len=0"
"31","56.778559169","157.240.196.60","10.0.2.15","TLSv1.2","159","Application Data"
